name,nii_file,nii_file_id,4dvolind
18_to_30,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,30
18_to_31,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,31
18_to_32,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,32
18_to_33,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,33
18_to_34,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,34
18_to_35,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,35
18_to_36,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,36
18_to_37,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,37
18_to_38,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,38
18_to_39,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,39
18_to_40,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,40
18_to_41,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,41
18_to_42,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,42
18_to_43,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,43
18_to_44,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,44
18_to_45,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,45
18_to_46,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,46
18_to_47,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,47
18_to_48,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,48
18_to_49,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,49
18_to_50,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,50
18_to_51,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,51
18_to_52,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,52
18_to_53,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,53
18_to_54,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,54
18_to_55,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,55
18_to_56,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,56
18_to_57,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,57
